Time,SNN_Lat,ANN_Lat,R,G,B,SNN_Act,ANN_Act
7.48,8.0,1652.0,0.0,0.0,0.0,1.0,2.0
7.535,8.0,1652.0,0.0,0.0,0.0,1.0,2.0
7.59,12.0,1648.0,0.0,0.0,0.0,1.0,2.0
7.6450000000000005,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
7.7,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
7.755,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
7.81,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
7.865,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
7.92,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
7.975,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.03,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.085,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.14,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.195,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.25,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
8.305,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.36,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.415000000000001,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
8.47,8.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.525,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.58,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
8.635,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.69,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
8.745,8.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.8,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.855,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
8.91,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
8.965,8.0,1656.0,0.0,0.0,0.0,1.0,2.0
9.02,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
9.075,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
9.13,8.0,1656.0,0.0,0.0,0.0,1.0,2.0
9.185,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
9.24,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
9.295,8.0,1656.0,0.0,0.0,0.0,1.0,2.0
9.35,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
9.405,8.0,1652.0,0.0,0.0,0.0,1.0,2.0
9.46,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
9.515,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
9.57,8.0,1652.0,0.0,0.0,0.0,1.0,2.0
9.625,8.0,1652.0,0.0,0.0,0.0,1.0,2.0
9.68,8.0,1652.0,0.0,0.0,0.0,1.0,2.0
9.735,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
9.790000000000001,8.0,1652.0,0.0,0.0,0.0,1.0,2.0
9.845,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
9.9,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
9.955,12.0,1648.0,0.0,0.0,0.0,1.0,2.0
10.01,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
10.065,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
10.12,8.0,1656.0,0.0,0.0,0.0,1.0,2.0
10.175,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
10.23,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
10.285,8.0,1660.0,0.0,0.0,0.0,1.0,2.0
10.34,12.0,1652.0,0.0,0.0,0.0,1.0,2.0
10.395,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
10.45,8.0,1652.0,0.0,0.0,0.0,1.0,2.0
10.505,12.0,1652.0,0.0,0.0,0.0,1.0,2.0
10.56,12.0,1656.0,0.0,0.0,0.0,1.0,2.0
10.615,8.0,1656.0,0.0,0.0,0.0,1.0,2.0
10.67,12.0,1648.0,0.0,0.0,0.0,1.0,2.0
10.725,12.0,1652.0,0.0,0.0,0.0,1.0,2.0
10.78,8.0,1700.0,0.0,0.0,0.09,1.0,2.0
10.835,5652.0,1704.0,0.0,0.0,0.22,1.0,2.0
10.89,5716.0,1736.0,0.0,0.0,0.3,1.0,2.0
10.945,5724.0,1732.0,0.0,0.0,0.29,1.0,2.0
11.0,5724.0,1716.0,0.0,0.0,0.38,2.0,2.0
11.055,5728.0,1716.0,0.0,0.0,0.47,2.0,2.0
11.11,6364.0,1736.0,0.0,0.08,0.54,2.0,2.0
11.165000000000001,6444.0,1748.0,0.0,0.13,0.57,2.0,2.0
11.22,6392.0,1752.0,0.0,0.16,0.61,2.0,2.0
11.275,6356.0,1688.0,0.0,0.22,0.62,2.0,2.0
11.33,6332.0,1696.0,0.0,0.23,0.61,2.0,2.0
11.385,6340.0,1696.0,0.0,0.23,0.62,2.0,2.0
11.44,6368.0,1688.0,0.0,0.22,0.6,2.0,2.0
11.495,6356.0,1680.0,0.0,0.23,0.6,2.0,2.0
11.55,6336.0,1688.0,0.0,0.23,0.61,2.0,2.0
11.605,6352.0,1684.0,0.0,0.22,0.62,2.0,2.0
11.66,6460.0,1744.0,0.0,0.14,0.57,2.0,2.0
11.715,5740.0,1728.0,0.0,0.0,0.44,2.0,2.0
11.77,5656.0,1704.0,0.0,0.0,0.15,2.0,2.0
11.825,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
11.88,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
11.935,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
11.99,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
12.045,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
12.1,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
12.155,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
12.21,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
12.265,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
12.32,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
12.375,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
12.43,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
12.485,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
12.540000000000001,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
12.595,12.0,1648.0,0.0,0.0,0.0,0.0,2.0
12.65,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
12.705,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
12.76,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
12.815,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
12.87,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
12.925,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
12.98,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
13.035,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
13.09,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
13.145,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
13.2,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
13.255,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
13.31,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
13.365,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
13.42,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
13.475,12.0,1652.0,0.0,0.0,0.0,0.0,2.0
13.53,8.0,1652.0,0.0,0.0,0.0,0.0,2.0
13.585,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
13.64,8.0,1656.0,0.0,0.0,0.0,0.0,2.0
13.695,8.0,1660.0,0.0,0.0,0.0,0.0,2.0
13.75,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
13.805,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
13.86,12.0,1656.0,0.0,0.0,0.0,0.0,2.0
13.915000000000001,5684.0,1700.0,0.0,0.0,0.16,0.0,2.0
13.97,5724.0,1720.0,0.0,0.0,0.49,0.0,2.0
14.025,6440.0,1748.0,0.0,0.14,0.6,0.0,2.0
14.08,6348.0,1736.0,0.0,0.24,0.64,0.0,2.0
14.135,6316.0,1680.0,0.0,0.24,0.59,2.0,2.0
14.19,6360.0,1684.0,0.0,0.22,0.57,2.0,2.0
14.245,6340.0,1684.0,0.0,0.23,0.6,2.0,2.0
14.3,6340.0,1676.0,0.0,0.23,0.58,2.0,2.0
14.355,6332.0,1672.0,0.0,0.23,0.58,2.0,2.0
14.41,6360.0,1684.0,0.0,0.21,0.57,2.0,2.0
14.465,6316.0,1688.0,0.0,0.24,0.62,2.0,2.0
14.52,5740.0,1720.0,0.0,0.0,0.27,2.0,2.0
14.575,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
14.63,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
14.685,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
14.74,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
14.795,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
